algorithm,scenario,metric,n,mean,std,ci95_low,ci95_high,unit
fcfs,equilibrado,mean_turnaround,1000,26012.898109000002,843.77828936092681,25960.600188802211,26065.196029197792,ticks
fcfs,equilibrado,context_switches,1000,3495.846,68.668709582135563,3491.589869285222,3500.102130714778,trocas
fcfs,equilibrado,jain_slowdown_pct,1000,70.78643002186358,1.9888385228529264,70.663160533105781,70.90969951062138,%
rr,equilibrado,mean_turnaround,1000,33723.020305999999,999.78515156381059,33661.052980304739,33784.987631695258,ticks
rr,equilibrado,context_switches,1000,12238.934999999999,249.83184489917559,12223.450261826303,12254.419738173696,trocas
rr,equilibrado,jain_slowdown_pct,1000,81.175240022540407,0.60622421680488991,81.137665856302448,81.212814188778367,%
prioridade,equilibrado,mean_turnaround,1000,23192.868719000002,585.53189889372561,23156.577075913527,23229.160362086477,ticks
prioridade,equilibrado,context_switches,1000,3495.846,68.668709582135563,3491.589869285222,3500.102130714778,trocas
prioridade,equilibrado,jain_slowdown_pct,1000,31.237979953861103,1.3899679169990449,31.151828849812478,31.324131057909728,%
proprio,equilibrado,mean_turnaround,1000,26014.192236999999,843.96551706253467,25961.882712309038,26066.501761690961,ticks
proprio,equilibrado,context_switches,1000,3495.846,68.668709582135563,3491.589869285222,3500.102130714778,trocas
proprio,equilibrado,jain_slowdown_pct,1000,70.841736358891907,1.9979343931596694,70.717903102251682,70.965569615532132,%
sjf,equilibrado,mean_turnaround,1000,24764.334864,744.97025636276567,24718.161129135959,24810.508598864042,ticks
sjf,equilibrado,context_switches,1000,3495.0439999999999,68.652306612401617,3490.7888859518189,3499.2991140481809,trocas
sjf,equilibrado,jain_slowdown_pct,1000,59.422054281281234,1.9429621004752966,59.301628242641449,59.542480319921019,%
fcfs,io_bound,mean_turnaround,1000,32271.818585999998,269.24842317679003,32255.130395836506,32288.506776163489,ticks
fcfs,io_bound,context_switches,1000,6498.2380000000003,36.03273114424875,6496.0046681856466,6500.471331814354,trocas
fcfs,io_bound,jain_slowdown_pct,1000,97.662438224886429,0.11241067864955842,97.655470938840409,97.669405510932449,%
rr,io_bound,mean_turnaround,1000,35593.926354999996,309.73158058896274,35574.728992744269,35613.123717255723,ticks
rr,io_bound,context_switches,1000,10212.928,68.229525017283279,10208.69909022657,10217.15690977343,trocas
rr,io_bound,jain_slowdown_pct,1000,97.339833244217701,0.13029939661179224,97.331757203945344,97.347909284490058,%
prioridade,io_bound,mean_turnaround,1000,20114.313107999998,166.40009033162426,20103.999523549206,20124.626692450791,ticks
prioridade,io_bound,context_switches,1000,6498.2380000000003,36.03273114424875,6496.0046681856466,6500.471331814354,trocas
prioridade,io_bound,jain_slowdown_pct,1000,72.404579124179278,0.46040567250286624,72.37604288495298,72.433115363405577,%
proprio,io_bound,mean_turnaround,1000,32270.537796000001,269.3676859612907,32253.842213852542,32287.233378147459,ticks
proprio,io_bound,context_switches,1000,6498.2380000000003,36.03273114424875,6496.0046681856466,6500.471331814354,trocas
proprio,io_bound,jain_slowdown_pct,1000,97.649716116074487,0.112271667889579,97.642757446004637,97.656674786144336,%
sjf,io_bound,mean_turnaround,1000,18863.00675,159.06494707078653,18853.1478024387,18872.865697561301,ticks
sjf,io_bound,context_switches,1000,6489.2759999999998,36.138951947280482,6487.0360845520663,6491.5159154479334,trocas
sjf,io_bound,jain_slowdown_pct,1000,71.294473345556042,0.45281294333856775,71.26640770855893,71.322538982553155,%
fcfs,cpu_bound,mean_turnaround,1000,49181.231453,1152.7791721011931,49109.78145966836,49252.68144633164,ticks
fcfs,cpu_bound,context_switches,1000,1998.4010000000001,26.166981291503802,1996.7791536967056,2000.0228463032945,trocas
fcfs,cpu_bound,jain_slowdown_pct,1000,84.18472569754222,0.86762772755926698,84.130949573850231,84.238501821234209,%
rr,cpu_bound,mean_turnaround,1000,72641.085829000003,1422.5603457291547,72552.914625289806,72729.2570327102,ticks
rr,cpu_bound,context_switches,1000,20717.280999999999,294.61106176910044,20699.02081721021,20735.541182789788,trocas
rr,cpu_bound,jain_slowdown_pct,1000,96.291182377388935,0.1661034330212591,96.280887179948735,96.301477574829136,%
prioridade,cpu_bound,mean_turnaround,1000,41158.757935999995,738.65217825811862,41112.975799673965,41204.540072326025,ticks
prioridade,cpu_bound,context_switches,1000,1998.4010000000001,26.166981291503802,1996.7791536967056,2000.0228463032945,trocas
prioridade,cpu_bound,jain_slowdown_pct,1000,54.843585755458783,1.2092896328437757,54.768633207482729,54.918538303434836,%
proprio,cpu_bound,mean_turnaround,1000,49194.681871000001,1154.8497782744441,49123.103540168122,49266.260201831879,ticks
